"id","name","provider","level","amount","deadline","project_types","requirements","description","contact_info","application_url","created_at","updated_at","status","technology"
"104","National Clean Investment Fund","EPA","federal","14000000000","ongoing","[""Clean Energy"",""Community Development""]","[]","The funding is dedicated to low-income and disadvantaged communities, with a minimum of 40% of capital allocated to these communities.",,"https://www.epa.gov/greenhouse-gas-reduction-fund/national-clean-investment-fund","""2025-06-26T19:59:23.853Z""","""2025-06-26T19:59:23.853Z""","active","Environmental"
"105","Energy Efficient Commercial Buildings Deduction","IRS","federal","0","ongoing","[""Energy Efficiency"",""Commercial""]","[]","Commercial building owners who make energy-efficient improvements",,"https://www.irs.gov/credits-deductions/energy-efficient-commercial-buildings-deduction","""2025-06-26T19:59:23.923Z""","""2025-06-26T19:59:23.923Z""","active","Energy Storage"
"106","Advanced Energy Project Credit","IRS","federal","0","ongoing","[""Advanced Technologies"",""Clean Energy""]","[]","Individuals and businesses interested in clean energy projects",,"https://www.irs.gov/credits-deductions/businesses/advanced-energy-project-credit","""2025-06-26T19:59:23.977Z""","""2025-06-26T19:59:23.977Z""","active","Advanced Technologies"
"107","Credit for Builders of New Energy-Efficient Homes","IRS","federal","0","ongoing","[""Energy Efficiency"",""Residential""]","[]","Tax credits for builders of energy-efficient homes",,"https://www.irs.gov/credits-deductions/credit-for-builders-of-energy-efficient-homes","""2025-06-26T19:59:24.012Z""","""2025-06-26T19:59:24.012Z""","active","Energy Storage"
"108","Clean Vehicle and Energy Credits","IRS","federal","0","ongoing","[""Transportation/EV"",""Clean Energy""]","[]","Clean vehicle and energy credits for individuals and businesses",,"https://www.irs.gov/credits-deductions/clean-vehicle-and-energy-credits","""2025-06-26T19:59:24.049Z""","""2025-06-26T19:59:24.049Z""","active","Transportation"
"109","Home Energy Tax Credits","IRS","federal","0","ongoing","[""Energy Efficiency"",""Residential""]","[]","Home energy tax credits for individuals",,"https://www.irs.gov/credits-deductions/home-energy-tax-credits","""2025-06-26T19:59:24.086Z""","""2025-06-26T19:59:24.086Z""","active","Energy Storage"
"110","Business Energy Credits and Deductions","IRS","federal","0","ongoing","[""Energy Efficiency"",""Commercial""]","[]","Credits and deductions for businesses",,"https://www.irs.gov/credits-deductions/businesses","""2025-06-26T19:59:24.120Z""","""2025-06-26T19:59:24.120Z""","active","Energy Storage"
"111","Inflation Reduction Act Credits","IRS","federal","0","ongoing","[""Clean Energy"",""Tax Credit""]","[]","Tax credits under the Inflation Reduction Act of 2022 for individuals, businesses, and self-employed",,"https://www.irs.gov/inflation-reduction-act-of-2022","""2025-06-26T19:59:24.156Z""","""2025-06-26T19:59:24.156Z""","active","Environmental"
"112","Corporate Alternative Minimum Tax","IRS","federal","0","ongoing","[""Tax Credit"",""Commercial""]","[]","Corporations subject to alternative minimum tax under Inflation Reduction Act",,"https://www.irs.gov/inflation-reduction-act-of-2022/corporate-alternative-minimum-tax","""2025-06-26T19:59:24.189Z""","""2025-06-26T19:59:24.189Z""","active","Advanced Technologies"
"113","Elective Pay and Transferability","IRS","federal","0","ongoing","[""Clean Energy"",""Transportation/EV""]","[]","Clean energy and vehicle credits and deductions for individuals and businesses",,"https://www.irs.gov/credits-deductions/elective-pay-and-transferability","""2025-06-26T19:59:24.223Z""","""2025-06-26T19:59:24.223Z""","active","Solar"
"114","Brownfield Cleanup Program","New York ESD","state","0","2026-03-31","[""Community Development"",""Climate & Resilience""]","[]","Tax credits for brownfield cleanup program reforms, redevelopment tax credits, tangible property credits. Properties in Environmental Zones, 'Upside down' properties, underutilized properties, sites for affordable housing projects",,"https://esd.ny.gov/brownfield-cleanup-program","""2025-06-26T19:59:24.255Z""","""2025-06-26T19:59:24.255Z""","active","Environmental"
"115","Buildings Funding Opportunities - L-Prize Phase III","Department of Energy","federal","0","2024-10-01","[""Advanced Technologies"",""Energy Efficiency""]","[]","L-Prize - Phase III, Manufacturing and Installation - Open to those interested in L-Prize Phase III for manufacturing and installation",,"https://www.energy.gov/eere/buildings/buildings-funding-opportunities","""2025-06-26T19:59:24.292Z""","""2025-06-26T19:59:24.292Z""","active","Advanced Technologies"
"116","New Markets Tax Credit Program","CDFI Fund","federal","0","2025-01-29","[""Community Development"",""Tax Credit""]","[]","Eligibility criteria and application process details are provided on the official website of the Community Development Financial Institutions Fund. Application deadline for the current round of the NMTC Program is January 29, 2025.",,"https://www.cdfifund.gov/programs-training/programs/new-markets-tax-credit/apply-step","""2025-06-26T19:59:24.324Z""","""2025-06-26T19:59:24.324Z""","active","Community Investment"
"117","NYSERDA Solicitation Programs","NYSERDA","state","0","ongoing","[""Clean Energy"",""Renewable Energy""]","[]","Anyone can apply as long as they follow the submission guidelines and have a NYSERDA Portal account. All Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation.",,"https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide","""2025-06-26T19:59:24.361Z""","""2025-06-26T19:59:24.361Z""","active","Solar"
"119","SBA Green Business Certification Program","Small Business Administration","federal","Up to $5 million in loan guarantees","ongoing","[""Green Business"",""Small Business""]","[""Small business eligibility"",""Green business plan""]","SBA loans and certification for green business initiatives",,"https://www.sba.gov/funding-programs/loans","""2025-06-26T21:27:57.345Z""","""2025-06-26T21:27:57.345Z""","active","Green Business"
"120","ARPA-E OPEN Program","ARPA-E","federal","$500 million available","ongoing","[""Research & Development"",""Advanced Technology""]","[""Research institution"",""Technology readiness""]","Advanced research projects for transformational energy technologies",,"https://arpa-e.energy.gov/funding-opportunities","""2025-06-26T21:27:57.345Z""","""2025-06-26T21:27:57.345Z""","active","Advanced Energy"
"121","NASA Technology Transfer Program","NASA","federal","Variable licensing fees","ongoing","[""Technology Transfer"",""Space Technology""]","[""Commercial application"",""Licensing agreement""]","Commercialization opportunities for NASA clean energy technologies",,"https://technology.nasa.gov/patents","""2025-06-26T21:27:57.345Z""","""2025-06-26T21:27:57.345Z""","active","Space Technology"
"122","Connecticut Green Bank Commercial PACE","Connecticut Green Bank","state","$1 billion financing capacity","ongoing","[""PACE Financing"",""Commercial""]","[""Connecticut property"",""Commercial building""]","Property Assessed Clean Energy financing for commercial projects",,"https://www.ctgreenbank.com/pace/","""2025-06-26T21:27:57.345Z""","""2025-06-26T21:27:57.345Z""","active","Clean Energy Finance"
"123","MacArthur Foundation Climate Solutions","MacArthur Foundation","foundation","$1 billion commitment","ongoing","[""Climate Policy"",""Systems Change""]","[""Nonprofit status"",""Climate impact""]","Grants for systemic climate change solutions and policy innovation",,"https://www.macfound.org/programs/climate-solutions/","""2025-06-26T21:27:57.345Z""","""2025-06-26T21:27:57.345Z""","active","Climate Solutions"
"124","DOE Loan Programs Office - Advanced Technology Vehicles","Department of Energy","federal","$25 billion loan authority","ongoing","[""Transportation/EV"",""Manufacturing""]","[""Manufacturing facility"",""Advanced technology""]","Loans for advanced technology vehicles manufacturing facilities",,"https://www.energy.gov/lpo/advanced-technology-vehicles-manufacturing","""2025-06-26T21:37:02.099Z""","""2025-06-26T21:37:02.099Z""","active","Advanced Vehicles"
"125","EPA Environmental Justice Thriving Communities","EPA","federal","$177 million available","ongoing","[""Environmental Justice"",""Community Development""]","[""Environmental justice community"",""Technical assistance""]","Technical assistance and capacity building for environmental justice communities",,"https://www.epa.gov/environmentaljustice/environmental-justice-thriving-communities-technical-assistance-centers","""2025-06-26T21:37:02.099Z""","""2025-06-26T21:37:02.099Z""","active","Environmental Justice"
"126","HUD Community Development Block Grant Program","HUD","federal","$3.3 billion annually","ongoing","[""Community Development"",""Energy Efficiency""]","[""Local government"",""Community development""]","Flexible grants for community development including energy efficiency projects",,"https://www.hud.gov/program_offices/comm_planning/communitydevelopment/programs","""2025-06-26T21:37:02.099Z""","""2025-06-26T21:37:02.099Z""","active","Community Development"
"127","USDA Rural Business Development Grant","USDA","federal","$500,000 maximum per grant","ongoing","[""Rural Development"",""Business Development""]","[""Rural area"",""Business development""]","Grants for rural business development including clean energy projects",,"https://www.rd.usda.gov/programs-services/business-programs/rural-business-development-grants","""2025-06-26T21:37:02.099Z""","""2025-06-26T21:37:02.099Z""","active","Rural Business"
"128","SBA 504 Green Loan Program","Small Business Administration","federal","Up to $5.5 million per project","ongoing","[""Green Building"",""Energy Efficiency""]","[""Small business"",""Green building""]","SBA 504 loans for green building and energy efficiency projects",,"https://www.sba.gov/funding-programs/loans/504-loans","""2025-06-26T21:37:02.099Z""","""2025-06-26T21:37:02.099Z""","active","Green Building"
"129","NYSERDA FlexTech Program","NYSERDA","state","Up to $100,000 per project","ongoing","[""Energy Efficiency"",""Renewable Energy""]","[""New York facility"",""Energy study""]","Cost-shared studies for energy efficiency and renewable energy",,"https://www.nyserda.ny.gov/All-Programs/FlexTech-Program","""2025-06-26T21:37:34.076Z""","""2025-06-26T21:37:34.076Z""","active","Energy Studies"
"130","NYSERDA Clean Energy Communities Program","NYSERDA","state","Up to $5,000 per action","ongoing","[""Community Energy"",""Municipal Programs""]","[""New York municipality"",""Clean energy actions""]","Recognition and grants for communities implementing clean energy actions",,"https://www.nyserda.ny.gov/All-Programs/Clean-Energy-Communities","""2025-06-26T21:37:34.076Z""","""2025-06-26T21:37:34.076Z""","active","Community Energy"
"131","NY ESD Excelsior Jobs Program","New York ESD","state","Up to $100 million per project","ongoing","[""Job Creation"",""Clean Energy""]","[""Job creation"",""Strategic industry""]","Tax credits for job creation in strategic industries including clean energy",,"https://esd.ny.gov/excelsior-jobs-program","""2025-06-26T21:37:34.076Z""","""2025-06-26T21:37:34.076Z""","active","Economic Development"
"132","ConEd Commercial Electric Vehicle Incentives","Consolidated Edison","utility","Up to $100,000 per site","ongoing","[""Transportation/EV"",""Commercial""]","[""ConEd service territory"",""Commercial customer""]","Incentives for commercial electric vehicle charging infrastructure",,"https://www.coned.com/en/commercial-industrial/energy-efficiency/electric-vehicles","""2025-06-26T21:37:34.076Z""","""2025-06-26T21:37:34.076Z""","active","Electric Vehicles"
"133","National Grid Heat Pump Incentives","National Grid","utility","Up to $15,000 per unit","ongoing","[""HVAC"",""Heat Pumps""]","[""National Grid customer"",""Qualifying heat pump""]","Rebates for air source and geothermal heat pump installations",,"https://www.nationalgridus.com/business/ways-to-save/energy-efficiency-programs","""2025-06-26T21:37:34.076Z""","""2025-06-26T21:37:34.076Z""","active","Heat Pumps"
"134","ARPA-E OPEN Program","ARPA-E","federal","$500 million available","ongoing","[""Research & Development"",""Advanced Technology""]","[""Research capability"",""Transformational technology""]","Open funding opportunity announcements for transformational energy technologies",,"https://arpa-e.energy.gov/funding-opportunities","""2025-06-26T21:37:34.076Z""","""2025-06-26T21:37:34.076Z""","active","Advanced Energy"
"135","NASA Technology Transfer Program","NASA","federal","Variable licensing fees","ongoing","[""Technology Transfer"",""Space Technology""]","[""Commercial application"",""Technology licensing""]","Commercialization opportunities for NASA clean energy technologies",,"https://technology.nasa.gov/patents","""2025-06-26T21:37:34.076Z""","""2025-06-26T21:37:34.076Z""","active","Space Technology"
"136","Bloomberg Philanthropies Environment Program","Bloomberg Philanthropies","foundation","$500 million commitment","ongoing","[""Environmental Initiative"",""Urban Climate""]","[""Environmental impact"",""Urban focus""]","Environmental initiatives including clean energy and climate resilience",,"https://www.bloomberg.org/environment/","""2025-06-26T21:37:34.076Z""","""2025-06-26T21:37:34.076Z""","active","Urban Environment"
"137","PACE Nation Commercial Programs","PACE Nation","private","$10+ billion market","ongoing","[""PACE Financing"",""Commercial Energy""]","[""Commercial property"",""Energy improvements""]","National PACE financing network for commercial energy projects",,"https://www.pacenation.org/pace-programs/","""2025-06-26T21:37:34.076Z""","""2025-06-26T21:37:34.076Z""","active","Energy Finance"
"138","Rocky Mountain Institute eLab Accelerator","Rocky Mountain Institute","private","Investment matching services","ongoing","[""Innovation"",""Clean Energy Startups""]","[""Clean energy innovation"",""Startup company""]","Clean energy innovation accelerator and investment platform",,"https://rmi.org/elab/","""2025-06-26T21:37:34.076Z""","""2025-06-26T21:37:34.076Z""","active","Clean Energy Innovation"
"139","DOE Office of Science Small Business Innovation Research","Department of Energy","federal","$1.5 million maximum per project","ongoing","[""Small Business"",""Research & Development""]","[""Small business"",""Clean energy innovation""]","SBIR grants for small businesses developing clean energy technologies",,"https://science.osti.gov/sbir","""2025-06-26T21:38:25.821Z""","""2025-06-26T21:38:25.821Z""","active","Clean Energy R&D"
"140","EPA Pollution Prevention Grant Program","EPA","federal","$3 million annually available","ongoing","[""Pollution Prevention"",""Energy Efficiency""]","[""Pollution prevention"",""State/tribal agency""]","Grants for pollution prevention projects including energy efficiency",,"https://www.epa.gov/p2/pollution-prevention-p2-grant-program","""2025-06-26T21:38:25.821Z""","""2025-06-26T21:38:25.821Z""","active","Pollution Prevention"
"141","FEMA Building Resilient Infrastructure and Communities","FEMA","federal","$2.3 billion available","ongoing","[""Resilience"",""Infrastructure""]","[""Hazard mitigation"",""Community resilience""]","Hazard mitigation grants including resilient infrastructure projects",,"https://www.fema.gov/grants/mitigation/building-resilient-infrastructure-communities","""2025-06-26T21:38:25.821Z""","""2025-06-26T21:38:25.821Z""","active","Climate Resilience"
"142","Treasury Community Development Financial Institutions Fund","Treasury","federal","$3 billion investment capacity","ongoing","[""Community Development"",""Financial Services""]","[""Community development"",""Low-income community""]","CDFI investments in community development including clean energy",,"https://www.cdfifund.gov/programs-training","""2025-06-26T21:38:25.821Z""","""2025-06-26T21:38:25.821Z""","active","Community Finance"
"143","Commerce Minority Business Development Agency","Commerce","federal","$150 million program funding","ongoing","[""Minority Business"",""Business Development""]","[""Minority-owned business"",""Business development""]","Support for minority-owned businesses including clean energy enterprises",,"https://www.mbda.gov/page/mbda-programs","""2025-06-26T21:38:25.821Z""","""2025-06-26T21:38:25.821Z""","active","Minority Business"
"144","NJ Clean Energy Program Commercial Buildings","New Jersey BPU","state","$200 million annually","ongoing","[""Commercial Buildings"",""Energy Efficiency""]","[""New Jersey location"",""Commercial building""]","Comprehensive commercial building energy efficiency incentives",,"https://www.njcleanenergy.com/commercial-industrial","""2025-06-26T21:38:25.821Z""","""2025-06-26T21:38:25.821Z""","active","Building Efficiency"
"145","CT Green Bank Commercial Property Assessment","Connecticut Green Bank","state","$1 billion financing capacity","ongoing","[""Commercial Property"",""Energy Finance""]","[""Connecticut property"",""Commercial owner""]","Commercial property energy assessments and financing solutions",,"https://www.ctgreenbank.com/commercial/","""2025-06-26T21:38:25.821Z""","""2025-06-26T21:38:25.821Z""","active","Green Banking"
"146","PSEG Long Island Commercial Efficiency","PSEG Long Island","utility","$50 million program budget","ongoing","[""Commercial Efficiency"",""Utility Programs""]","[""PSEG service territory"",""Commercial customer""]","Commercial energy efficiency rebates and incentives program",,"https://www.psegliny.com/page.cfm/Commercial","""2025-06-26T21:38:25.821Z""","""2025-06-26T21:38:25.821Z""","active","Utility Efficiency"
"147","New York Power Authority Economic Development","NYPA","state","$8 billion investment authority","ongoing","[""Economic Development"",""Power Authority""]","[""New York business"",""Economic development""]","Low-cost power and energy services for economic development projects",,"https://www.nypa.gov/services/economic-development","""2025-06-26T21:38:25.821Z""","""2025-06-26T21:38:25.821Z""","active","Public Power"
"148","Ford Foundation Building Futures","Ford Foundation","foundation","$1 billion commitment","ongoing","[""Equitable Development"",""Social Justice""]","[""Social impact"",""Equitable development""]","Investments in equitable development including clean energy access",,"https://www.fordfoundation.org/about/working-with-us/","""2025-06-26T21:38:25.821Z""","""2025-06-26T21:38:25.821Z""","active","Social Impact"
"149","DOE Advanced Research Projects Agency-Energy (ARPA-E)","ARPA-E","federal","$500 million annually","ongoing","[""Research & Development"",""Advanced Technology""]","[""Research capability"",""Transformational technology""]","High-risk, high-reward research funding for transformational energy technologies",,"https://arpa-e.energy.gov/funding-opportunities","""2025-06-26T21:43:10.092Z""","""2025-06-26T21:43:10.092Z""","active","Advanced Energy Research"
"150","EPA Brownfields Assessment and Cleanup","EPA","federal","$80 million program funding","ongoing","[""Brownfield Redevelopment"",""Site Cleanup""]","[""Brownfield site"",""Environmental assessment""]","Grants for brownfield site assessment and cleanup including renewable energy redevelopment",,"https://www.epa.gov/brownfields/brownfields-grant-funding","""2025-06-26T21:43:10.092Z""","""2025-06-26T21:43:10.092Z""","active","Environmental Remediation"
"151","Treasury New Markets Tax Credit Program","Treasury","federal","$5 billion tax credit authority","ongoing","[""Community Development"",""Tax Credits""]","[""Low-income community"",""Qualified investment""]","Tax credits for investments in low-income communities including clean energy projects",,"https://www.cdfifund.gov/programs-training/programs/new-markets-tax-credit","""2025-06-26T21:43:10.092Z""","""2025-06-26T21:43:10.092Z""","active","Community Investment"
"152","Commerce Economic Development Administration","Commerce EDA","federal","$3 billion investment capacity","ongoing","[""Economic Development"",""Infrastructure""]","[""Economic distress"",""Job creation""]","Economic development assistance including clean energy infrastructure projects",,"https://www.eda.gov/funding/programs/","""2025-06-26T21:43:10.092Z""","""2025-06-26T21:43:10.092Z""","active","Economic Development"
"153","FEMA Hazard Mitigation Grant Program","FEMA","federal","$1 billion annually","ongoing","[""Hazard Mitigation"",""Resilience""]","[""Disaster declaration"",""Hazard mitigation""]","Post-disaster hazard mitigation grants including resilient energy systems",,"https://www.fema.gov/grants/mitigation/hazard-mitigation","""2025-06-26T21:43:10.092Z""","""2025-06-26T21:43:10.092Z""","active","Disaster Resilience"
"154","NJ Economic Development Authority Clean Energy","New Jersey EDA","state","$1 billion green economy fund","ongoing","[""Clean Energy"",""Economic Development""]","[""New Jersey business"",""Clean energy project""]","Comprehensive clean energy financing and incentives for New Jersey businesses",,"https://www.njeda.com/clean-energy/","""2025-06-26T21:43:10.092Z""","""2025-06-26T21:43:10.092Z""","active","State Clean Energy"
"155","CT Department of Energy and Environmental Protection","Connecticut DEEP","state","$300 million program budget","ongoing","[""Environmental Protection"",""Energy Programs""]","[""Connecticut location"",""Environmental compliance""]","State environmental and energy programs including renewable energy incentives",,"https://portal.ct.gov/DEEP/Energy","""2025-06-26T21:43:10.092Z""","""2025-06-26T21:43:10.092Z""","active","State Environmental"
"156","PSEG Clean Energy Future","PSEG","utility","$1 billion investment commitment","ongoing","[""Clean Energy Investment"",""Utility Programs""]","[""PSEG service territory"",""Clean energy technology""]","Comprehensive clean energy investments including solar, storage, and efficiency",,"https://www.pseg.com/saveenergyandmoney/cleanenergyfuture","""2025-06-26T21:43:10.092Z""","""2025-06-26T21:43:10.092Z""","active","Utility Clean Energy"
"157","National Grid Partners Innovation","National Grid","utility","$150 million venture fund","ongoing","[""Venture Capital"",""Clean Energy Innovation""]","[""Clean energy innovation"",""Technology company""]","Venture capital and partnerships for clean energy innovation companies",,"https://www.nationalgrid.com/innovation","""2025-06-26T21:43:10.092Z""","""2025-06-26T21:43:10.092Z""","active","Energy Innovation"
"158","Kresge Foundation Climate Resilience","Kresge Foundation","foundation","$100 million climate initiative","ongoing","[""Climate Resilience"",""Community Development""]","[""Underserved community"",""Climate resilience""]","Grants for climate resilience and clean energy in underserved communities",,"https://kresge.org/programs/environment/","""2025-06-26T21:43:10.092Z""","""2025-06-26T21:43:10.092Z""","active","Climate Foundation"
"159","USDA Rural Energy for America Program (REAP)","USDA","federal","$280 million annually","ongoing","[""Rural Energy"",""Renewable Energy""]","[""Rural area"",""Agricultural business""]","Grants and loans for renewable energy and energy efficiency projects in rural areas",,"https://www.rd.usda.gov/programs-services/energy-programs/rural-energy-america-program-renewable-energy-systems-energy-efficiency-improvement-guaranteed-loans","""2025-06-26T21:43:34.924Z""","""2025-06-26T21:43:34.924Z""","active","Rural Renewable Energy"
"160","SBA Community Advantage Loans","Small Business Administration","federal","$250,000 maximum per loan","ongoing","[""Small Business Lending"",""Community Development""]","[""Underserved market"",""Small business""]","SBA loans for underserved markets including clean energy small businesses",,"https://www.sba.gov/funding-programs/loans/community-advantage","""2025-06-26T21:43:34.924Z""","""2025-06-26T21:43:34.924Z""","active","Small Business Finance"
"161","Treasury Opportunity Zones Tax Incentive","Treasury","federal","$200 billion investment potential","ongoing","[""Opportunity Zones"",""Tax Incentives""]","[""Opportunity zone"",""Qualified investment""]","Capital gains tax deferral for investments in designated opportunity zones",,"https://www.cdfifund.gov/opportunity-zones","""2025-06-26T21:43:34.924Z""","""2025-06-26T21:43:34.924Z""","active","Economic Development"
"162","NYSERDA Real Time Energy Management","NYSERDA","state","$40 million program","ongoing","[""Energy Management"",""Demand Response""]","[""New York business"",""Energy management system""]","Incentives for real-time energy management systems and demand response",,"https://www.nyserda.ny.gov/All-Programs/Real-Time-Energy-Management","""2025-06-26T21:43:34.924Z""","""2025-06-26T21:43:34.924Z""","active","Energy Management"
"163","NYSERDA NY-Sun Initiative","NYSERDA","state","$1.8 billion solar commitment","ongoing","[""Solar Energy"",""Renewable Energy""]","[""New York location"",""Solar installation""]","Comprehensive solar incentive program for residential and commercial installations",,"https://www.nyserda.ny.gov/All-Programs/NY-Sun","""2025-06-26T21:43:34.924Z""","""2025-06-26T21:43:34.924Z""","active","Solar Power"
"164","NY Green Jobs-Green New York","New York State","state","$112 million program","ongoing","[""Energy Efficiency"",""Workforce Development""]","[""New York property"",""Energy audit""]","On-bill financing for energy efficiency improvements and workforce development",,"https://www.nyserda.ny.gov/All-Programs/Green-Jobs-Green-New-York","""2025-06-26T21:43:34.924Z""","""2025-06-26T21:43:34.924Z""","active","Green Jobs"
"165","NJ Board of Public Utilities Storage Incentive","New Jersey BPU","state","$100 million energy storage","ongoing","[""Energy Storage"",""Grid Modernization""]","[""New Jersey installation"",""Energy storage system""]","Incentives for energy storage installations in New Jersey",,"https://www.njcleanenergy.com/renewable-energy/programs/energy-storage-incentive-program","""2025-06-26T21:43:34.924Z""","""2025-06-26T21:43:34.924Z""","active","Energy Storage"
"166","Connecticut Green Bank C-PACE","Connecticut Green Bank","state","$2 billion financing capacity","ongoing","[""PACE Financing"",""Commercial Property""]","[""Connecticut commercial property"",""Energy improvements""]","Commercial Property Assessed Clean Energy financing for Connecticut",,"https://www.ctgreenbank.com/c-pace/","""2025-06-26T21:43:34.924Z""","""2025-06-26T21:43:34.924Z""","active","Green Finance"
"167","Consolidated Edison Energy Efficiency Programs","Con Edison","utility","$100 million annually","ongoing","[""Energy Efficiency"",""Utility Programs""]","[""ConEd service territory"",""Energy efficiency measures""]","Comprehensive commercial and residential energy efficiency rebates and incentives",,"https://www.coned.com/en/save-money/rebates-incentives","""2025-06-26T21:43:34.924Z""","""2025-06-26T21:43:34.924Z""","active","Utility Efficiency"
"168","Long Island Power Authority Efficiency Programs","LIPA","utility","$50 million program budget","ongoing","[""Energy Efficiency"",""Demand Management""]","[""Long Island location"",""LIPA customer""]","Energy efficiency and demand management programs for Long Island customers",,"https://www.lipower.org/partners-suppliers/energy-efficiency/","""2025-06-26T21:43:34.924Z""","""2025-06-26T21:43:34.924Z""","active","Utility Programs"
"169","MacArthur Foundation Climate Solutions","MacArthur Foundation","foundation","$500 million climate commitment","ongoing","[""Climate Solutions"",""Innovation""]","[""Climate impact"",""Innovative solution""]","Grants for climate solutions including clean energy and resilience projects",,"https://www.macfound.org/programs/climate/","""2025-06-26T21:43:59.276Z""","""2025-06-26T21:43:59.276Z""","active","Climate Innovation"
"170","Rockefeller Foundation Power and Utility","Rockefeller Foundation","foundation","$1 billion commitment","ongoing","[""Power Systems"",""Energy Access""]","[""Power system innovation"",""Energy access""]","Investments in power systems transformation and energy access",,"https://www.rockefellerfoundation.org/power-utility/","""2025-06-26T21:43:59.276Z""","""2025-06-26T21:43:59.276Z""","active","Power Systems"
